experiment,cluster,round,elo
P1_share_early,positional,60,800
P1_share_early,positional,70,800
P1_share_early,positional,80,800
P1_share_early,positional,90,875
P1_share_early,positional,100,900
P1_share_early,positional,110,925
P1_share_early,positional,120,825
P1_share_early,positional,130,800
P1_share_early,positional,140,975
P1_share_early,positional,150,900
P1_share_early,positional,160,800
P1_share_early,positional,170,900
P1_share_early,positional,180,900
P1_share_early,positional,190,1000
P1_share_early,positional,200,900
P1_share_early,positional,210,825
P1_share_early,positional,220,1025
P1_share_early,positional,230,800
P1_share_early,positional,240,900
P1_share_early,positional,250,900
P1_share_early,positional,260,950
P1_share_early,positional,270,900
P1_share_early,positional,280,1125
P1_share_early,positional,290,975
P1_share_early,positional,300,900
P1_share_early,positional,310,1150
P1_share_early,positional,320,975
P1_share_early,positional,330,1075
P1_share_early,positional,340,1050
P1_share_early,positional,350,1125
P2_share_middle,tactical,10,800
P2_share_middle,tactical,20,800
P2_share_middle,tactical,30,800
P2_share_middle,tactical,40,800
P2_share_middle,tactical,50,800
P2_share_middle,tactical,60,800
P2_share_middle,tactical,70,800
P2_share_middle,tactical,80,800
P2_share_middle,tactical,90,800
P2_share_middle,tactical,100,800
P2_share_middle,tactical,110,800
P2_share_middle,tactical,120,925
P2_share_middle,tactical,130,850
P2_share_middle,tactical,140,900
P2_share_middle,tactical,150,925
P2_share_middle,tactical,160,950
P2_share_middle,tactical,170,850
P2_share_middle,tactical,180,900
P2_share_middle,tactical,190,800
P2_share_middle,tactical,200,875
P2_share_middle,tactical,210,800
P2_share_middle,tactical,220,1025
P2_share_middle,tactical,230,825
P2_share_middle,tactical,240,1050
P2_share_middle,tactical,250,1050
P2_share_middle,tactical,260,975
P2_share_middle,tactical,270,1025
P2_share_middle,tactical,280,1075
P2_share_middle,tactical,290,1050
P2_share_middle,tactical,300,950
P2_share_middle,tactical,310,1050
P2_share_middle,tactical,320,1025
P2_share_middle,tactical,330,1000
P2_share_middle,tactical,340,1025
P2_share_middle,tactical,350,1150
P2_share_middle,positional,10,800
P2_share_middle,positional,20,800
P2_share_middle,positional,30,800
P2_share_middle,positional,40,800
P2_share_middle,positional,50,800
P2_share_middle,positional,60,800
P2_share_middle,positional,70,825
P2_share_middle,positional,80,800
P2_share_middle,positional,90,875
P2_share_middle,positional,100,800
P2_share_middle,positional,110,800
P2_share_middle,positional,120,850
P2_share_middle,positional,130,800
P2_share_middle,positional,140,950
P2_share_middle,positional,150,825
P2_share_middle,positional,160,800
P2_share_middle,positional,170,950
P2_share_middle,positional,180,875
P2_share_middle,positional,190,1075
P2_share_middle,positional,200,1050
P2_share_middle,positional,210,925
P2_share_middle,positional,220,1075
P2_share_middle,positional,230,975
